#Gene   SNP P-value -Log(P-value)
TCF7L2	rs7903146	3e-695	6.945229e+02
CDKAL1	rs10440833	5e-215	2.143010e+02
FTO	rs1421085	1e-189	1.890000e+02
SLC30A8	rs13266634	4e-136	1.353979e+02
HHEX	rs1111875	1e-128	1.280000e+02
CCND2	rs76895963	1e-96	9.600000e+01
NYAP2	rs2943650	2e-81	8.069897e+01
ANK1	rs13262861	8e-79	7.809691e+01
SPRY2	rs11616380	1e-69	6.900000e+01
GPSM1	rs28642213	6e-68	6.722185e+01
HNF1B	rs11651755	9e-67	6.604576e+01
HMG20A	rs12910361	5e-65	6.430103e+01
ARAP1	rs11602873	2e-62	6.169897e+01
TLE1	rs2796441	3e-55	5.452288e+01
GRB14	rs10184004	4e-54	5.339794e+01
PPARG	rs17036160	2e-53	5.269897e+01
PROX1	rs340874	5e-48	4.730103e+01
RNF6	rs34584161	2e-37	3.669897e+01
PPIP5K2	rs75432112	6e-37	3.622185e+01
CTBP1	rs730831	5e-34	3.330103e+01
KL	rs57286125	2e-33	3.269897e+01
TCF19	rs3130931	2e-32	3.169897e+01
PRC1	rs2290203	2e-31	3.069897e+01
RREB1	rs9379084	5e-31	3.030103e+01
HNF1A	rs56348580	2e-30	2.969897e+01
ZZEF1	rs8071043	5e-30	2.930103e+01
FAF1	rs79090772	1e-28	2.800000e+01
APOE	rs429358	4e-28	2.739794e+01
HNF4A	rs12625671	6e-28	2.722185e+01
BCL2	rs12454712	2e-27	2.669897e+01
CEP68	rs2540949	9e-26	2.504576e+01
ST6GAL1	rs3887925	1e-25	2.500000e+01
FGFR3	rs56337234	3e-25	2.452288e+01
CCND1	rs3918298	8e-25	2.409691e+01
TFAP2B	rs3798519	6e-24	2.322185e+01
NOTCH2	rs2453051	1e-23	2.300000e+01
DLEU1	rs9316500	1e-22	2.200000e+01
PTPN9	rs6495182	2e-22	2.169897e+01
PEPD	rs4805881	8e-22	2.109691e+01
ETS1	rs10750397	2e-21	2.069897e+01
QKI	rs4709746	2e-21	2.069897e+01
CHCHD2P9	rs67269808	1e-20	2.000000e+01
ABCB10	rs348330	3e-20	1.952288e+01
HSF1	rs13268508	4e-20	1.939794e+01
TCF4	rs72926932	4e-20	1.939794e+01
TRPS1	rs3802219	1e-19	1.900000e+01
NUS1	rs80196932	1e-19	1.900000e+01
ITPR2	rs11048457	2e-19	1.869897e+01
MYO5C	rs149336329	3e-18	1.752288e+01
SINHCAF	rs80234489	6e-18	1.722185e+01
CCDC92	rs4930726	8e-18	1.709691e+01
CEBPB	rs13040225	1e-17	1.700000e+01
HLA-C	rs3869115	1e-17	1.700000e+01
RALY	rs6059662	2e-17	1.669897e+01
NEUROG3	rs177045	3e-17	1.652288e+01
CDK2AP1	rs10773000	6e-17	1.622185e+01
NAGLU	rs684214	3e-16	1.552288e+01
CDKN2C	rs3176466	9e-16	1.504576e+01
LCORL	rs2169033	1e-15	1.500000e+01
NF1	rs2040792	2e-15	1.469897e+01
DCAF12	rs12001437	4e-15	1.439794e+01
PSMD6	rs3816157	7e-15	1.415490e+01
COPB1	rs117316450	9e-15	1.404576e+01
SREBF1	rs2297508	2e-14	1.369897e+01
INSR	rs17175860	3e-14	1.352288e+01
BNIPL	rs145904381	4e-14	1.339794e+01
CRY2	rs12419690	1e-13	1.300000e+01
HERC1	rs34143602	1e-13	1.300000e+01
MIR4435-2HG	rs113135335	2e-13	1.269897e+01
BCL2L11	rs113135335	2e-13	1.269897e+01
JADE2	rs329118	2e-13	1.269897e+01
HSD17B12	rs35251247	2e-13	1.269897e+01
PGM1	rs2269247	3e-13	1.252288e+01
PML	rs9479	4e-13	1.239794e+01
CEP120	rs144052331	4e-13	1.239794e+01
ETV1	rs7787720	4e-13	1.239794e+01
ZNF236	rs6565922	6e-13	1.222185e+01
PTEN	rs36062478	7e-13	1.215490e+01
HDAC9	rs583769	8e-13	1.209691e+01
DTNB	rs34845373	1e-12	1.200000e+01
